Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-10-01,Arrival,2016,https://boxd.it/7ryxYb,4,,already planning a rewatch bc it would most likely have a higher rating if i fully paid attention,background noise,2024-09-30
2024-10-04,Challengers,2024,https://boxd.it/7t2L1h,4.5,Yes,how many rewatches will it take me to stop thinking art and his pt are gonna kiss in that scene i wonder,background noise,2024-10-03
2024-10-15,Saturday Night,2024,https://boxd.it/7yAMvb,4,,"rachel sennott, dylan obrien, and andrew feldman are IT for me (they are the literal reason why i was so excited for this)",in theatres,2024-10-14
2024-10-17,Scream,1996,https://boxd.it/7zntWb,3.5,,LMAOOO the references of jamie lee curtis being a scream queen and then 19 years later ... legendary,,2024-10-16
2024-10-18,The Fall Guy,2024,https://boxd.it/7zSyyb,4,,loveee the club fight scene it’s so scott pilgrim coded,train time,2024-10-17
2024-10-31,Wizards of Waverly Place: The Movie,2009,https://boxd.it/7GJB99,5,Yes,OH OH OHH ITS MAGICCCC YOU KNOWWWWW,,2024-10-30
2024-11-01,The Rocky Horror Picture Show,1975,https://boxd.it/7HkVVV,5,Yes,DID I SEE A ROCKY HORROR PERFORMANCE WITH ALL THE ADLIBS AND PROPS ON HALLOWEEN? YES I DID,"in theatres, on stage",2024-10-31
2024-11-05,Scream 2,1997,https://boxd.it/7JuihP,3,,joel is so real (except at the end),,2024-11-04
2024-11-07,"Red, White & Royal Blue",2023,https://boxd.it/7KrUc7,4,Yes,alex claremont diaz and the texas strategy memo how i wish you were real ,,2024-11-06
2024-11-13,We Live in Time,2024,https://boxd.it/7NxVF9,4.5,,“i wish we could meet people organically” *runs into the middle of the street so i can get hit by a car*,in theatres,2024-11-12
2024-11-22,Wicked,2024,https://boxd.it/7ROMar,5,,"for the record i saw wicked on broadway in like 2012

objectively, this has flaws but idc",in theatres,2024-11-21
2024-11-28,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/7V0vkb,4.5,Yes,something about coryo always looks like he want that cookie so bad,background noise,2024-11-27
2024-12-16,Moulin Rouge!,2001,https://boxd.it/848AtJ,3.5,,this is a level of camp i didn’t know was even possible,,2024-12-15
2024-12-27,Inside Out 2,2024,https://boxd.it/8bnqd5,3,,"idk there’s some good moments but at the end of the day, i was kinda bored. i be like ennui sitting w the ipad",,2024-12-26
2024-12-28,Moulin Rouge!,2001,https://boxd.it/8cfl9F,3.5,Yes,the way this is shot is definitely a choice … that i really like,,2024-12-27
2024-12-30,Moulin Rouge!,2001,https://boxd.it/8dNRPP,4.5,Yes,"EL TANGO DE ROXANNE LIVE ON STAGE RAH RAH RAHHH

also lima ohio???? i know some mfers from lima ohio…",on stage,2024-12-29
2025-01-10,Everyone is Doing Great,2018,https://boxd.it/8p3jLl,3,,needed a one tree hill break between s8 and 9 (by watching a show w 2 oth actors),,2025-01-09
2025-01-19,Sixteen Candles,1984,https://boxd.it/8wMd3v,1,,uh no ... i literally watched this whole dumb movie just to see the last like 5 minutes and it was NOT worth it ,,2025-01-18
2025-01-19,Mr. & Mrs. Smith,2005,https://boxd.it/8wZtel,5,Yes,"""chickenshit""
""pussy""
iconic. this is nowhere near oscar worthy but it is cinema to me. ",,2025-01-18
2025-01-29,One of Them Days,2025,https://boxd.it/8ELzA7,4,,it REALLY was one of them days …,in theatres,2025-01-28
2025-02-28,A Walk to Remember,2002,https://boxd.it/8YxgAz,5,Yes,saw something on twitter that said this is getting a reboot so i immediately put it on to say and show that THIS DOES NOT NEED A REBOOT ITS PERFECT and NOTHING WILL BEAT IT. BACK AWAY GET OUT DONT TOUCH,i cry,2025-02-27
2025-03-14,Mickey 17,2025,https://boxd.it/97gfp3,3.5,,need all 18 of him (at the same time),in theatres,2025-03-13
2025-03-23,Puppy Love,2023,https://boxd.it/9cK1OX,2.5,,the pharmacist was so unhinged ,,2025-03-22
2025-03-24,Bottled with Love,2019,https://boxd.it/9dvoBV,3.5,Yes,"okay waittt couple things 
- during covid i probably watched like 100 or so hallmark films and my family and i all agreed this is one of the best ones 
- if the ending was less cringe i would give it 4 stars 
- why she still giving tutor girl 
- very much a cinderella story but with letters and emails but the oth actor is a girl whereas a cinderella story was a oth guy ",,2025-03-23
2025-03-25,Bride Wars,2009,https://boxd.it/9e2Wp1,3,,i foresaw the anne hathaway and bryan greenberg couple bc i too would go for my best friends brother if he was bryan greenberg ,,2025-03-24
2025-03-28,Back to the Future,1985,https://boxd.it/9fiGn5,4.5,Yes,are they not confused on how marty (85) looks like some random guy they met in 55 ????????????? ,background noise,2025-03-27
2025-03-29,Back to the Future Part II,1989,https://boxd.it/9fKHGD,4,Yes,maybe im over thinking the plot (it is in fact just a movie) but they keep saying “don’t interact” “you can’t know too much about your future” but quite literally do the opposite of that. and alsoooo like aren’t all the future events fluctuating like the future is not written so marty can just not grow up to be a certain way or raise his kids differently????????? anyway this movie is great but a lil confusing,background noise,2025-03-28
2025-03-30,Back to the Future Part III,1990,https://boxd.it/9gmB8V,3,Yes,when they switched and marty said great scott and doc said this is heavy >>>,background noise,2025-03-29
