Date,Name,Year,Letterboxd URI,Rating
2025-06-16,Sleepless in Seattle,1993,https://boxd.it/29re,3.5
2025-06-18,Bridesmaids,2011,https://boxd.it/rac,4.5
2025-07-02,Can't Buy Me Love,1987,https://boxd.it/1R4c,2.5
2025-07-02,Fantastic Four,2005,https://boxd.it/1XVw,3.5
2025-07-03,Fantastic Four: Rise of the Silver Surfer,2007,https://boxd.it/27Ii,2
2025-07-04,Fantastic Four,2015,https://boxd.it/5a9c,0.5
2025-07-04,A Nice Indian Boy,2024,https://boxd.it/GG6o,4.5
2025-07-05,About Time,2013,https://boxd.it/43bI,4.5
2025-07-06,Date Night,2010,https://boxd.it/2l5a,4
2025-07-08,Chicago,2002,https://boxd.it/28zm,4.5
2025-07-08,Confessions of a Teenage Drama Queen,2004,https://boxd.it/1UyE,2.5
2025-07-10,The Princess Bride,1987,https://boxd.it/26EY,4
2025-07-10,Wimbledon,2004,https://boxd.it/1T0m,4.5
2025-07-11,When a Man Loves a Woman,1994,https://boxd.it/1WeG,4.5
2025-07-14,KPop Demon Hunters,2025,https://boxd.it/ufwK,4
2025-07-15,Freaky Friday,2003,https://boxd.it/1WwK,4.5
2025-07-16,Zootopia,2016,https://boxd.it/84xS,3.5
2025-07-17,Bring It On,2000,https://boxd.it/28x6,4
2025-07-18,Bring It On: All or Nothing,2006,https://boxd.it/1Umo,3
2025-07-18,Bring It On Again,2004,https://boxd.it/1RKW,1.5
2025-07-19,Bring It On: In It to Win It,2007,https://boxd.it/1My2,2
2025-07-20,Bring It On: Fight to the Finish,2009,https://boxd.it/1BPQ,1.5
2025-07-21,Bring It On: Worldwide #Cheersmack,2017,https://boxd.it/gJD4,0.5
2025-07-21,Bring It On: Cheer Or Die,2022,https://boxd.it/vlq6,2
2025-07-22,D.E.B.S.,2004,https://boxd.it/2aaS,4.5
2025-07-23,She's the Man,2006,https://boxd.it/1Y7W,5
2025-07-24,The Breakfast Club,1985,https://boxd.it/27q4,4.5
2025-07-26,The Nanny Diaries,2007,https://boxd.it/1RZM,3
2025-07-27,Confessions of a Shopaholic,2009,https://boxd.it/1E9e,4
2025-07-28,Monte Carlo,2011,https://boxd.it/hqk,3.5
2025-07-28,Booksmart,2019,https://boxd.it/igNS,3.5
2025-07-28,When in Rome,2010,https://boxd.it/1Q5S,4
2025-07-30,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,4
2025-07-31,Death Becomes Her,1992,https://boxd.it/1YQi,4.5
2025-08-01,He's Just Not That Into You,2009,https://boxd.it/1WSG,3
2025-08-01,The Rules of Attraction,2002,https://boxd.it/286Y,2.5
2025-08-02,"I, Tonya",2017,https://boxd.it/dzR0,4.5
2025-08-05,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,4.5
2025-08-06,The Cheetah Girls,2003,https://boxd.it/1hkS,4
2025-08-09,The Cheetah Girls 2,2006,https://boxd.it/17Ws,4.5
2025-08-10,The Cheetah Girls: One World,2008,https://boxd.it/1rns,2.5
2025-08-11,My Old Ass,2024,https://boxd.it/zLP0,4
2025-08-12,She's Out of My League,2010,https://boxd.it/1eww,3.5
2025-08-15,Gilmore Girls: A Year in the Life,2016,https://boxd.it/f9og,3
2025-08-16,Wild Child,2008,https://boxd.it/1P0C,3.5
2025-08-17,Ice Princess,2005,https://boxd.it/1QjA,3.5
2025-08-18,Pretty in Pink,1986,https://boxd.it/1TEw,2.5
2025-08-18,You've Got Mail,1998,https://boxd.it/1Yye,4.5
2025-08-18,The Virgin Suicides,1999,https://boxd.it/28JG,4
