Date,Name,Year,Rating,Rewatch,Tags,Watched Date,Letterboxd URI,Like
2023-11-06,Ex Machina,2015,5.0,Yes,,2023-11-05,https://boxd.it/7T2k,True
2023-11-11,Bodies Bodies Bodies,2022,4.0,No,,2023-11-10,https://boxd.it/iRcE,True
2023-11-13,(500) Days of Summer,2009,5.0,Yes,,2023-11-12,https://boxd.it/1EmM,True
2023-11-14,Bottoms,2023,4.5,No,,2023-11-13,https://boxd.it/uGf2,True
2023-11-14,Hannah Montana: The Movie,2009,,No,,,https://boxd.it/1Hx4,True
2023-11-14,Starstruck,2010,4.0,Yes,,2023-11-13,https://boxd.it/1cjq,True
2023-11-20,Miss Americana,2020,5.0,No,,2023-11-19,https://boxd.it/oifq,True
2023-11-21,Kung Fu Panda,2008,4.5,Yes,,2023-11-20,https://boxd.it/1Yws,True
2023-11-23,Kung Fu Panda 2,2011,4.0,Yes,,2023-11-22,https://boxd.it/G36,True
2023-11-29,The Hunger Games: The Ballad of Songbirds & Snakes,2023,4.5,No,in theatres,2023-11-28,https://boxd.it/pZCY,True
2023-12-05,The Hunger Games,2012,4.0,Yes,,2023-12-04,https://boxd.it/2uds,True
2023-12-09,The Hunger Games: Catching Fire,2013,5.0,Yes,,2023-12-09,https://boxd.it/3sAw,True
2023-12-17,The Hunger Games: Mockingjay – Part 1,2014,3.5,Yes,,2023-12-16,https://boxd.it/4hka,True
2023-12-18,The Hunger Games: Mockingjay – Part 2,2015,4.0,Yes,,2023-12-17,https://boxd.it/4hk0,True
2023-12-23,The Hunger Games: The Ballad of Songbirds & Snakes,2023,4.5,Yes,train time,2023-12-22,https://boxd.it/pZCY,True
2023-12-28,Saltburn,2023,4.0,No,,2023-12-27,https://boxd.it/z4eg,True
2024-01-01,Taylor Swift: Reputation Stadium Tour,2018,,No,,,https://boxd.it/kQ0w,False
2024-01-01,Taylor Swift: The Eras Tour,2023,5.0,Yes,,2023-12-31,https://boxd.it/HTIi,True
2024-01-08,Diary of a Wimpy Kid,2010,3.0,Yes,,2024-01-07,https://boxd.it/1fUa,False
2024-01-13,Mean Girls,2024,3.5,No,in theatres,2024-01-12,https://boxd.it/1VNg,True
2024-01-13,Mean Girls,2024,3.5,No,in theatres,2024-01-12,https://boxd.it/p6nO,True
2024-01-28,The Queen's Gambit,2020,5.0,Yes,,2024-01-28,https://boxd.it/s1Ym,True
2024-02-04,Diary of a Wimpy Kid: Rodrick Rules,2011,4.0,Yes,,2024-02-03,https://boxd.it/gm2,True
2024-03-15,Taylor Swift: The Eras Tour,2023,5.0,Yes,,2024-03-14,https://boxd.it/HTIi,True
2024-04-04,Lemonade Mouth,2011,,No,,,https://boxd.it/4bG,True
2024-04-04,Radio Rebel,2012,,No,,,https://boxd.it/39mq,True
2024-04-04,Camp Rock 2: The Final Jam,2010,,No,,,https://boxd.it/Sru,False
2024-04-04,Camp Rock,2008,,No,,,https://boxd.it/1PHw,False
2024-04-04,Teen Beach 2,2015,,No,,,https://boxd.it/aArm,False
2024-04-04,Descendants,2015,,No,,,https://boxd.it/8rMm,True
2024-04-04,High School Musical 3: Senior Year,2008,,No,,,https://boxd.it/1SR0,True
2024-04-04,High School Musical,2006,,No,,,https://boxd.it/1V0y,True
2024-04-04,High School Musical 2,2007,,No,,,https://boxd.it/1PIu,True
2024-04-04,Z-O-M-B-I-E-S,2018,,No,,,https://boxd.it/hp12,False
2024-04-04,Princess Protection Program,2009,,No,,,https://boxd.it/1F5s,True
2024-04-04,Geek Charming,2011,,No,,,https://boxd.it/2Q8k,True
2024-04-24,Theater Camp,2023,4.0,No,,2024-04-23,https://boxd.it/Bfbm,True
2024-04-26,Música,2024,3.5,No,,2024-04-25,https://boxd.it/AA9a,True
2024-04-26,Challengers,2024,4.0,No,in theatres,2024-04-25,https://boxd.it/zld0,True
2024-04-28,West Side Story,2021,4.5,No,,2024-04-28,https://boxd.it/iwt0,True
2024-05-18,Challengers,2024,4.5,Yes,,2024-05-18,https://boxd.it/zld0,True
2024-05-21,Emma.,2020,3.0,No,,2024-05-21,https://boxd.it/kmg0,True
2024-05-25,Pinball: The Man Who Saved the Game,2022,4.0,No,,2024-05-24,https://boxd.it/wi5Q,True
2024-05-26,The Atlantic City Story,2020,2.5,No,,2024-05-25,https://boxd.it/q8iS,False
2024-05-26,Shiva Baby,2020,4.0,No,,2024-05-25,https://boxd.it/oIv0,True
2024-05-27,Nerve,2016,3.5,Yes,,2024-05-26,https://boxd.it/aJIc,True
