Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-05-23,Trainspotting,1996,https://boxd.it/9M04dR,4,,,2025-05-22
2025-05-25,T2 Trainspotting,2017,https://boxd.it/9MV3Y7,3,,,2025-05-24
2025-05-25,Worth the Wait,2025,https://boxd.it/9N1ANX,2.5,,,2025-05-24
2025-05-25,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/9NkLNn,4.5,,i cry,2025-05-24
2025-05-28,Grease,1978,https://boxd.it/9PcbDt,3.5,Yes,,2025-05-27
2025-05-28,Grease 2,1982,https://boxd.it/9Pq0pj,3.5,,,2025-05-27
2025-05-30,Notting Hill,1999,https://boxd.it/9Qwm1p,3,,,2025-05-29
2025-05-31,Step Up,2006,https://boxd.it/9R2uCH,4,,,2025-05-30
2025-06-01,Step Up 2: The Streets,2008,https://boxd.it/9RziFl,2.5,,,2025-05-31
2025-06-02,Step Up 3D,2010,https://boxd.it/9SfOol,2.5,,,2025-06-01
2025-06-02,Step Up Revolution,2012,https://boxd.it/9Szj9p,3,,,2025-06-01
2025-06-03,Step Up All In,2014,https://boxd.it/9Tcyl9,2,,,2025-06-02
2025-06-04,But I'm a Cheerleader,1999,https://boxd.it/9TKmtt,3.5,,,2025-06-03
2025-06-06,One Direction: This Is Us,2013,https://boxd.it/9UGWkj,5,Yes,background noise,2025-06-05
2025-06-06,Dead Poets Society,1989,https://boxd.it/9UQasf,5,,i cry,2025-06-05
2025-06-08,I Am Love,2009,https://boxd.it/9VSIsV,3.5,,,2025-06-07
2025-06-08,A Bigger Splash,2015,https://boxd.it/9W6yfv,3.5,,,2025-06-07
2025-06-09,Call Me by Your Name,2017,https://boxd.it/9WR06X,4,,,2025-06-08
2025-06-10,Suspiria,2018,https://boxd.it/9Xt8HD,4,,,2025-06-09
2025-06-12,While You Were Sleeping,1995,https://boxd.it/9YmI3z,4.5,,,2025-06-11
2025-06-12,Bones and All,2022,https://boxd.it/9YBWQl,4.5,,,2025-06-11
2025-06-13,Challengers,2024,https://boxd.it/9YZa3X,4.5,Yes,background noise,2025-06-12
2025-06-13,Queer,2024,https://boxd.it/9ZbxqJ,3,,,2025-06-12
2025-06-14,Bedtime Stories,2008,https://boxd.it/9ZFzZB,3,Yes,,2025-06-13
2025-06-15,Materialists,2025,https://boxd.it/a0hbVB,4.5,,in theatres,2025-06-14
2025-06-16,Sleepless in Seattle,1993,https://boxd.it/a11JyX,3.5,,,2025-06-15
2025-06-18,Bridesmaids,2011,https://boxd.it/a2iouX,4.5,,train time,2025-06-17
2025-06-26,Can't Buy Me Love,1987,https://boxd.it/a7xhYB,2.5,,,2025-06-25
2025-06-30,Tangled,2010,https://boxd.it/aarfeh,5,Yes,,2025-06-29
2025-07-02,Fantastic Four,2005,https://boxd.it/abLGox,3.5,,,2025-07-01
2025-07-03,Fantastic Four: Rise of the Silver Surfer,2007,https://boxd.it/acoUtz,2,,,2025-07-02
2025-07-04,Fantastic Four,2015,https://boxd.it/acKQGX,0.5,Yes,,2025-07-03
2025-07-04,A Nice Indian Boy,2024,https://boxd.it/acXAFZ,4.5,,in theatres,2025-07-03
2025-07-05,About Time,2013,https://boxd.it/adq3of,4.5,,i cry,2025-07-04
2025-07-06,Date Night,2010,https://boxd.it/aefDAj,4,,,2025-07-05
2025-07-08,Chicago,2002,https://boxd.it/afTsHx,4.5,,background noise,2025-07-06
2025-07-08,Confessions of a Teenage Drama Queen,2004,https://boxd.it/afXawT,2.5,,,2025-07-07
2025-07-10,The Princess Bride,1987,https://boxd.it/agYjeF,4,,,2025-07-08
2025-07-10,Wimbledon,2004,https://boxd.it/ahlj0T,4.5,,,2025-07-09
2025-07-11,When a Man Loves a Woman,1994,https://boxd.it/ai2B17,4.5,,i cry,2025-07-10
2025-07-14,KPop Demon Hunters,2025,https://boxd.it/ak8Jhd,4,,,2025-07-13
2025-07-15,Freaky Friday,2003,https://boxd.it/alcylv,4.5,,,2025-07-14
2025-07-16,Zootopia,2016,https://boxd.it/alY9w5,3.5,Yes,,2025-07-15
2025-07-17,Bring It On,2000,https://boxd.it/amwvxx,4,Yes,,2025-07-16
2025-07-17,Bring It On Again,2004,https://boxd.it/amGxt3,1.5,,,2025-07-16
2025-07-18,Bring It On: All or Nothing,2006,https://boxd.it/annbqH,3,,,2025-07-17
